date;value;change
2021-01-01;627.44;4.80
2020-01-01;541.49;-2.94
2019-01-01;533.88;1.99
2018-01-01;555.46;1.95
2017-01-01;541.02;2.57
2016-01-01;515.65;2.07
2015-01-01;505.10;4.49
2014-01-01;581.96;2.66
2013-01-01;586.84;1.19
2012-01-01;552.48;-0.59
